Name,FoodGroup,Protein,Fat,Carbohydrates,Calories,Sugar,Calcium,Potasssium,VitaminA,VitaminC,Folate,img
Beets,Vegetable,1.61,0.17,9.56,43,6.76,16,325,33,4.9,109,https://images.unsplash.com/photo-1533231040102-5ec7a63e6d0a?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1500&q=80
Beet greens,Vegetable,2.2,0.13,4.33,22,0.5,117,762,6326,30,15,https://lizshealthytable.com/wp-content/uploads/2015/07/20118573055_3242201de2_b.jpg
Broccoli,Vegetable,2.82,0.37,6.64,34,1.7,47,316,623,89.2,63,https://images.unsplash.com/photo-1459411621453-7b03977f4bfc?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60
Carrots,Vegetable,0.93,0.24,9.58,41,4.74,33,320,16706,5.9,19,https://www.organicfacts.net/wp-content/uploads/storecarrots.jpg
Cassava,Vegetable,1.36,0.28,38.06,160,1.7,16,271,13,20.6,27,https://thumbor.forbes.com/thumbor/960x0/https%3A%2F%2Fspecials-images.forbesimg.com%2Fdam%2Fimageserve%2F1157268298%2F960x0.jpg%3Ffit%3Dscale
Celery,Vegetable,0.69,0.17,2.97,16,1.34,40,260,449,3.1,36,https://befreshcorp.net/wp-content/uploads/2017/06/product-packshot-Celery.jpg
Swiss Chard,Vegetable,1.8,0.2,3.74,19,1.1,51,379,6116,30,14,https://s3.amazonaws.com/cdn.gardensalive.com/images/370/14567.jpg
Collard Greens,Vegetable,3.02,0.61,5.42,32,0.46,232,213,5019,35.3,129,http://images.ctfassets.net/3s5io6mnxfqz/4PMfhrut8lOnx5YfqmMFnL/04b7c523ba64fdf3d207be23fefd5b9e/AdobeStock_185610373.jpeg
Cucumber,Vegetable,0.65,0.11,3.63,15,1.67,16,147,105,2.8,7,https://images.unsplash.com/photo-1449300079323-02e209d9d3a6?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60
Dandelion Greens,Vegetable,2.7,0.7,9.2,45,0.71,187,397,10161,35,27,https://cupidslanding.org/wp-content/uploads/2017/04/IMG_5708-1200x800.jpg
Ginger Root,Vegetable,1.82,0.75,17.77,80,1.7,16,415,0,5,11,https://i5.walmartimages.com/asr/02dd844b-ca98-4f34-b9d5-0696d5fce41d_1.f7271e095e5e5e4b35cbbd5e4ad8d525.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
Kale,Vegetable,4.28,0.93,8.75,49,2.26,150,491,9990,120,141,https://images.unsplash.com/photo-1539207107274-c576d0d5b375?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1500&q=80
Mustard Greens,Vegetable,2.86,0.42,4.67,27,1.32,115,384,3024,70,12,https://upload.wikimedia.org/wikipedia/commons/5/50/Mustard_greens.jpg
Parsley,Vegetable,2.97,0.79,6.33,36,0.85,138,554,8424,133,152,https://upload.wikimedia.org/wikipedia/commons/b/ba/Parsley_bush.jpg
